epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,337.673,0.48661,0.99674,1.14628,0.57461,0.61458,0.47473,0.34772,0.89437,1.39989,1.38454,0.000554901,0.000554901,0.000554901
2,670.928,0.49115,0.92444,1.15072,0.74694,0.63336,0.66597,0.5588,0.7063,1.07073,1.24225,0.00108858,0.00108858,0.00108858
3,1002.61,0.46489,0.87499,1.13784,0.73902,0.628,0.68598,0.58686,0.70707,1.08177,1.21604,0.00160025,0.00160025,0.00160025
4,1343.93,0.44232,0.8355,1.12325,0.75604,0.67265,0.73014,0.63209,0.61812,0.99031,1.16474,0.00156798,0.00156798,0.00156798
5,1676.53,0.42794,0.79489,1.11522,0.71094,0.65303,0.70262,0.6187,0.60279,1.119,1.13863,0.00153497,0.00153497,0.00153497
6,2007.18,0.41405,0.77144,1.10835,0.8828,0.67974,0.76034,0.66336,0.59461,0.82902,1.10825,0.00150197,0.00150197,0.00150197
7,2337.95,0.40906,0.75018,1.10366,0.87401,0.68009,0.7576,0.65724,0.60103,0.8524,1.11983,0.00146896,0.00146896,0.00146896
8,2668.61,0.40074,0.73503,1.09605,0.83828,0.67585,0.76409,0.66949,0.59753,0.88872,1.10859,0.00143595,0.00143595,0.00143595
9,2999.24,0.39612,0.71926,1.09661,0.86063,0.67631,0.76342,0.66214,0.56518,0.84073,1.10006,0.00140295,0.00140295,0.00140295
10,3330.05,0.39374,0.71109,1.09168,0.80809,0.66837,0.77603,0.67721,0.56523,0.88472,1.091,0.00136994,0.00136994,0.00136994
11,3660.76,0.3914,0.70836,1.09519,0.84523,0.65816,0.7781,0.67975,0.54849,0.8668,1.0748,0.00133693,0.00133693,0.00133693
12,3991.64,0.37862,0.68486,1.08478,0.88871,0.689,0.7901,0.69328,0.57077,0.79774,1.10661,0.00130393,0.00130393,0.00130393
13,4321.02,0.37607,0.67636,1.0812,0.88875,0.7037,0.80187,0.70405,0.56091,0.76278,1.09137,0.00127092,0.00127092,0.00127092
14,4638.4,0.37789,0.66818,1.08502,0.90923,0.68381,0.79379,0.69772,0.55557,0.77881,1.0794,0.00123791,0.00123791,0.00123791
15,4956.14,0.37378,0.66551,1.08085,0.87587,0.70736,0.80381,0.69965,0.56577,0.72865,1.07837,0.00120491,0.00120491,0.00120491
16,5279.84,0.367,0.66084,1.07816,0.86987,0.69515,0.80192,0.70907,0.54467,0.77478,1.06627,0.0011719,0.0011719,0.0011719
17,5605.44,0.37096,0.65301,1.07841,0.9049,0.68083,0.80207,0.70487,0.55175,0.78872,1.06767,0.00113889,0.00113889,0.00113889
18,5930.91,0.36125,0.64123,1.07122,0.86949,0.71786,0.81659,0.72063,0.51833,0.74614,1.04703,0.00110589,0.00110589,0.00110589
19,6248.47,0.36335,0.63724,1.07319,0.89519,0.70092,0.81699,0.72056,0.51413,0.7244,1.04151,0.00107288,0.00107288,0.00107288
20,6565.12,0.3574,0.63251,1.07078,0.88722,0.71528,0.82351,0.72509,0.51735,0.73151,1.05802,0.00103987,0.00103987,0.00103987
21,6881.77,0.34761,0.61363,1.06453,0.88108,0.71526,0.82007,0.72313,0.52665,0.70725,1.04923,0.00100687,0.00100687,0.00100687
22,7198.35,0.34973,0.60875,1.06465,0.87761,0.71918,0.83059,0.72876,0.54592,0.69458,1.05943,0.000973861,0.000973861,0.000973861
23,7514.89,0.34651,0.60269,1.06428,0.88604,0.7223,0.82739,0.73255,0.52579,0.68506,1.03931,0.000940855,0.000940855,0.000940855
24,7831.31,0.34094,0.59212,1.05744,0.88878,0.7293,0.83067,0.73482,0.51158,0.7071,1.06136,0.000907848,0.000907848,0.000907848
25,8147.63,0.34326,0.59491,1.06181,0.88285,0.74051,0.83798,0.74019,0.52282,0.68205,1.04497,0.000874842,0.000874842,0.000874842
26,8463.91,0.34006,0.58467,1.05851,0.8519,0.73955,0.83626,0.74011,0.5142,0.68932,1.03616,0.000841835,0.000841835,0.000841835
27,8779.91,0.33269,0.57849,1.05034,0.87863,0.72792,0.83756,0.73992,0.51576,0.67485,1.02674,0.000808828,0.000808828,0.000808828
28,9095.73,0.32993,0.57373,1.05255,0.90574,0.73067,0.83984,0.74373,0.49997,0.67735,1.03169,0.000775822,0.000775822,0.000775822
29,9412.73,0.33067,0.55861,1.05231,0.89714,0.72832,0.84792,0.75107,0.50385,0.66805,1.03238,0.000742815,0.000742815,0.000742815
30,9729.18,0.32983,0.5581,1.05254,0.90937,0.73189,0.84671,0.75137,0.49158,0.67048,1.02673,0.000709809,0.000709809,0.000709809
31,10045.1,0.32808,0.55409,1.04777,0.87822,0.75449,0.85152,0.75543,0.48956,0.65108,1.01392,0.000676802,0.000676802,0.000676802
32,10361.1,0.31966,0.53985,1.0439,0.89019,0.73601,0.85158,0.75669,0.48469,0.63844,1.01703,0.000643795,0.000643795,0.000643795
33,10680.1,0.32072,0.53656,1.04588,0.89517,0.73039,0.85318,0.7553,0.49332,0.64663,1.0135,0.000610789,0.000610789,0.000610789
34,10996.4,0.31952,0.53417,1.04633,0.87647,0.74843,0.85264,0.75897,0.48415,0.65028,1.01242,0.000577782,0.000577782,0.000577782
