epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.7231,0.52447,0.652,1.15657,0.79022,0.6307,0.73728,0.62499,0.82673,1.1499,1.32718,0.000330709,0.000330709,0.000330709
2,137.607,0.5394,0.67301,1.1658,0.68797,0.57651,0.69293,0.56142,1.0288,1.58181,1.50147,0.000657468,0.000657468,0.000657468
3,205.123,0.5813,0.74923,1.19691,0.82053,0.62914,0.75519,0.63404,0.93809,1.28282,1.4337,0.000977627,0.000977627,0.000977627
4,273.477,0.59039,0.77506,1.21095,0.83914,0.63076,0.75216,0.67873,0.80117,1.02611,1.32318,0.0009703,0.0009703,0.0009703
5,341.071,0.59286,0.76915,1.2085,0.87068,0.59599,0.75563,0.69093,0.74637,0.99712,1.28164,0.0009604,0.0009604,0.0009604
6,409.243,0.61038,0.76767,1.22212,0.77596,0.63951,0.73783,0.66397,0.80445,1.11208,1.31796,0.0009505,0.0009505,0.0009505
7,477.49,0.5901,0.75213,1.2,0.86027,0.62562,0.7653,0.69117,0.83069,1.13041,1.35088,0.0009406,0.0009406,0.0009406
8,545.651,0.59081,0.75733,1.21237,0.84451,0.61066,0.74164,0.6647,0.8131,1.09584,1.34076,0.0009307,0.0009307,0.0009307
9,614.958,0.59578,0.74733,1.21019,0.91515,0.59991,0.76534,0.71718,0.78309,1.04088,1.33693,0.0009208,0.0009208,0.0009208
10,682.945,0.57571,0.74062,1.2049,0.84292,0.61252,0.75336,0.69034,0.86935,1.09877,1.38662,0.0009109,0.0009109,0.0009109
11,751.734,0.58735,0.73843,1.20143,0.854,0.61241,0.75694,0.69165,0.79632,1.09467,1.3294,0.000901,0.000901,0.000901
12,819.665,0.59318,0.74716,1.20295,0.83902,0.59532,0.73288,0.66918,0.7951,1.03663,1.32758,0.0008911,0.0008911,0.0008911
13,888.192,0.58734,0.74005,1.20623,0.88352,0.58332,0.74823,0.67368,0.8641,1.14481,1.36815,0.0008812,0.0008812,0.0008812
14,956.315,0.57194,0.72945,1.19743,0.85849,0.6112,0.75228,0.61764,0.94174,1.16481,1.43738,0.0008713,0.0008713,0.0008713
15,1024.22,0.57664,0.70849,1.19287,0.75773,0.62491,0.73191,0.64351,0.81287,1.15229,1.3296,0.0008614,0.0008614,0.0008614
16,1092.62,0.5712,0.7206,1.17908,0.85831,0.6068,0.75108,0.67232,0.85625,1.12806,1.37833,0.0008515,0.0008515,0.0008515
17,1158.35,0.56587,0.71709,1.18878,0.78045,0.62471,0.73925,0.66165,0.79024,1.15008,1.32323,0.0008416,0.0008416,0.0008416
18,1223.24,0.56885,0.69333,1.17707,0.85276,0.63569,0.7662,0.70072,0.73677,0.97,1.27331,0.0008317,0.0008317,0.0008317
19,1288.59,0.54618,0.67487,1.16138,0.88602,0.59765,0.75813,0.70264,0.77811,1.03354,1.30801,0.0008218,0.0008218,0.0008218
20,1357.06,0.55487,0.6873,1.16829,0.80295,0.62991,0.74716,0.65135,0.81817,1.07371,1.33167,0.0008119,0.0008119,0.0008119
21,1428.19,0.55474,0.70122,1.17722,0.89742,0.61363,0.76603,0.68585,0.79373,1.06853,1.32822,0.000802,0.000802,0.000802
22,1499.72,0.53923,0.67557,1.16561,0.87196,0.48879,0.68952,0.60378,0.8767,1.27956,1.40919,0.0007921,0.0007921,0.0007921
23,1571.28,0.54903,0.66868,1.1713,0.87806,0.59099,0.74565,0.67495,0.83209,1.08242,1.37052,0.0007822,0.0007822,0.0007822
24,1642.9,0.54842,0.67309,1.1655,0.85717,0.63866,0.7644,0.64275,0.83668,1.11932,1.34656,0.0007723,0.0007723,0.0007723
25,1714.33,0.54447,0.66711,1.16077,0.87699,0.61306,0.76689,0.69458,0.80097,1.09458,1.30764,0.0007624,0.0007624,0.0007624
26,1785.9,0.54288,0.6597,1.16453,0.89052,0.56501,0.74001,0.64816,0.8947,1.17694,1.38531,0.0007525,0.0007525,0.0007525
27,1857.8,0.54214,0.65522,1.16497,0.88986,0.60778,0.76541,0.70875,0.77193,1.00846,1.30048,0.0007426,0.0007426,0.0007426
28,1926.79,0.5311,0.64527,1.15915,0.80065,0.6637,0.76669,0.69482,0.74709,1.04317,1.27339,0.0007327,0.0007327,0.0007327
29,1996.38,0.53174,0.64945,1.15548,0.85013,0.64535,0.76793,0.67983,0.81453,1.04853,1.32963,0.0007228,0.0007228,0.0007228
30,2066.25,0.53575,0.65341,1.15725,0.83654,0.62268,0.7494,0.63086,0.87758,1.12058,1.40028,0.0007129,0.0007129,0.0007129
31,2136.02,0.51611,0.62093,1.14313,0.70772,0.62815,0.69936,0.57228,0.87073,1.19442,1.38195,0.000703,0.000703,0.000703
32,2205.32,0.52764,0.64795,1.15714,0.87971,0.60444,0.75621,0.67036,0.87051,1.15083,1.39248,0.0006931,0.0006931,0.0006931
33,2274.9,0.5368,0.63839,1.15469,0.79207,0.63137,0.74515,0.66315,0.79595,1.08285,1.31783,0.0006832,0.0006832,0.0006832
34,2344.46,0.52126,0.6264,1.15188,0.82616,0.66867,0.78002,0.68811,0.79203,1.00942,1.31097,0.0006733,0.0006733,0.0006733
35,2413.77,0.51868,0.63624,1.1416,0.88164,0.6335,0.77106,0.66428,0.80488,1.10204,1.31313,0.0006634,0.0006634,0.0006634
36,2483.25,0.5151,0.62452,1.14353,0.85609,0.62812,0.762,0.66145,0.8012,1.05018,1.3293,0.0006535,0.0006535,0.0006535
37,2552.58,0.51975,0.61333,1.14578,0.84916,0.63137,0.76406,0.6759,0.78758,1.01618,1.32919,0.0006436,0.0006436,0.0006436
38,2621.87,0.50799,0.60671,1.13853,0.85628,0.62728,0.76857,0.69122,0.80667,1.07352,1.32961,0.0006337,0.0006337,0.0006337
39,2691.77,0.50581,0.60079,1.13431,0.7518,0.60751,0.71169,0.585,0.94054,1.26295,1.45272,0.0006238,0.0006238,0.0006238
40,2760.66,0.50922,0.59998,1.13748,0.8846,0.60369,0.75732,0.6887,0.77717,1.05227,1.30297,0.0006139,0.0006139,0.0006139
41,2830.23,0.50463,0.59271,1.13411,0.83245,0.61224,0.74361,0.63372,0.80987,1.1321,1.33055,0.000604,0.000604,0.000604
42,2899.79,0.50251,0.61599,1.13462,0.8513,0.62931,0.76686,0.67219,0.81307,1.10794,1.34869,0.0005941,0.0005941,0.0005941
43,2969.16,0.49563,0.57852,1.13024,0.87702,0.64802,0.78398,0.71679,0.77285,1.04623,1.30643,0.0005842,0.0005842,0.0005842
44,3037.88,0.49689,0.58782,1.12214,0.81968,0.63809,0.76196,0.67544,0.8548,1.12968,1.36077,0.0005743,0.0005743,0.0005743
45,3098.91,0.5024,0.57729,1.1224,0.87996,0.57474,0.74437,0.67405,0.79352,1.13655,1.33041,0.0005644,0.0005644,0.0005644
46,3160.39,0.49973,0.57902,1.12275,0.86095,0.64789,0.78464,0.70345,0.75914,0.95416,1.28822,0.0005545,0.0005545,0.0005545
