epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.4563,0.67499,1.39039,1.24095,0.46908,0.41603,0.38222,0.12637,2.0969,3.99463,2.59947,0.000551291,0.000551291,0.000551291
2,125.723,0.79137,1.31884,1.34458,0.46877,0.43693,0.35348,0.25079,1.37634,5.54657,1.96547,0.001096,0.001096,0.001096
3,190.293,0.80142,1.33535,1.35198,0.43899,0.35637,0.34467,0.27047,1.26902,2.94229,1.76502,0.0016297,0.0016297,0.0016297
4,252.228,0.73383,1.26135,1.31747,0.64567,0.47504,0.50037,0.34618,1.18525,2.44655,1.75118,0.00161749,0.00161749,0.00161749
5,313.541,0.68369,1.19593,1.27867,0.85255,0.55038,0.60555,0.51938,0.8161,1.37373,1.33515,0.00160099,0.00160099,0.00160099
6,375.603,0.69447,1.17165,1.29059,0.80633,0.50598,0.58759,0.50554,0.84673,1.76183,1.3677,0.00158448,0.00158448,0.00158448
7,436.053,0.68035,1.15536,1.27079,0.8581,0.54673,0.63744,0.52613,0.84805,1.22439,1.33734,0.00156798,0.00156798,0.00156798
8,498.36,0.64143,1.10619,1.2556,0.89617,0.56453,0.64967,0.56483,0.73344,1.13587,1.26275,0.00155148,0.00155148,0.00155148
9,560.921,0.63959,1.08525,1.25424,0.90003,0.54221,0.64424,0.53185,0.8178,1.2004,1.31374,0.00153497,0.00153497,0.00153497
10,622.989,0.60459,1.05127,1.22616,0.89035,0.53836,0.63075,0.54778,0.78585,1.22001,1.30259,0.00151847,0.00151847,0.00151847
11,685.71,0.6248,1.04634,1.23629,0.8838,0.54496,0.6594,0.56564,0.73008,1.17266,1.25976,0.00150197,0.00150197,0.00150197
12,747.787,0.61342,1.05781,1.23119,0.89286,0.53288,0.66908,0.57068,0.72481,1.13678,1.26046,0.00148546,0.00148546,0.00148546
13,809.753,0.61002,1.04083,1.23045,0.75782,0.5453,0.65051,0.55584,0.72584,1.20628,1.22994,0.00146896,0.00146896,0.00146896
14,872.033,0.58786,1.03074,1.21853,0.80635,0.55918,0.6622,0.56918,0.72371,1.18462,1.23882,0.00145246,0.00145246,0.00145246
15,933.32,0.57487,0.99415,1.20154,0.90477,0.55113,0.67032,0.57725,0.71975,1.19268,1.23078,0.00143595,0.00143595,0.00143595
16,994.909,0.57803,1.00746,1.19763,0.9402,0.55143,0.67101,0.58211,0.68423,1.12548,1.1975,0.00141945,0.00141945,0.00141945
17,1057.73,0.57097,0.98678,1.20045,0.87181,0.5785,0.6745,0.5808,0.69218,1.15997,1.22095,0.00140295,0.00140295,0.00140295
18,1123.85,0.59739,0.99175,1.20786,0.82313,0.58887,0.69155,0.58912,0.70966,1.08523,1.21538,0.00138644,0.00138644,0.00138644
19,1192.13,0.5594,0.93945,1.17787,0.8175,0.55051,0.67915,0.56755,0.72767,1.16662,1.23993,0.00136994,0.00136994,0.00136994
20,1260.74,0.55962,0.94419,1.18413,0.90374,0.5811,0.70191,0.59901,0.69085,1.03296,1.20626,0.00135344,0.00135344,0.00135344
21,1328.73,0.54944,0.94746,1.17769,0.85892,0.60954,0.70777,0.60821,0.694,1.04158,1.20444,0.00133693,0.00133693,0.00133693
22,1395.21,0.53637,0.91623,1.16658,0.89211,0.60377,0.70737,0.61128,0.67291,0.99378,1.18754,0.00132043,0.00132043,0.00132043
23,1458.83,0.54854,0.90808,1.18299,0.8862,0.59566,0.71299,0.6148,0.6482,1.00781,1.17518,0.00130393,0.00130393,0.00130393
24,1522.06,0.54422,0.91185,1.17532,0.90056,0.60559,0.72122,0.60976,0.66532,1.02641,1.1958,0.00128742,0.00128742,0.00128742
25,1585.46,0.54142,0.89436,1.16543,0.84913,0.61404,0.73309,0.6237,0.67571,1.00335,1.18727,0.00127092,0.00127092,0.00127092
26,1649.38,0.52268,0.86292,1.16579,0.83174,0.63444,0.72586,0.62127,0.65986,0.95687,1.17438,0.00125442,0.00125442,0.00125442
27,1711.55,0.53403,0.886,1.17059,0.8169,0.63847,0.72848,0.6224,0.64195,0.98775,1.16586,0.00123791,0.00123791,0.00123791
28,1778.06,0.51335,0.85779,1.15993,0.8497,0.61292,0.71905,0.61798,0.65061,0.97265,1.17141,0.00122141,0.00122141,0.00122141
29,1844.17,0.50084,0.85575,1.14776,0.84609,0.61605,0.73462,0.61128,0.67429,0.95766,1.19222,0.00120491,0.00120491,0.00120491
30,1910.27,0.51699,0.85502,1.15909,0.892,0.60481,0.72819,0.62217,0.65175,0.98991,1.1715,0.0011884,0.0011884,0.0011884
31,1976.82,0.50099,0.83968,1.14319,0.80053,0.64705,0.74189,0.63119,0.64991,1.00668,1.16782,0.0011719,0.0011719,0.0011719
32,2043.39,0.50987,0.84523,1.15454,0.85314,0.61109,0.72806,0.62497,0.65196,0.98215,1.16048,0.0011554,0.0011554,0.0011554
33,2109.41,0.521,0.84312,1.15392,0.83815,0.63304,0.74985,0.64212,0.64471,0.92024,1.17974,0.00113889,0.00113889,0.00113889
34,2175.92,0.49586,0.80195,1.14463,0.85956,0.65395,0.76094,0.65112,0.61757,0.87912,1.1386,0.00112239,0.00112239,0.00112239
35,2242.56,0.50442,0.82831,1.14866,0.85631,0.64378,0.75417,0.64193,0.63336,0.90723,1.16491,0.00110589,0.00110589,0.00110589
