epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,349.008,0.4686,0.6765,1.16251,0.84893,0.6593,0.77947,0.65807,0.64723,0.90657,1.15671,0.000554901,0.000554901,0.000554901
2,691.867,0.47923,0.6903,1.15884,0.82238,0.67001,0.76996,0.64528,0.7041,0.95517,1.21805,0.00108858,0.00108858,0.00108858
3,1035.24,0.4936,0.70862,1.16815,0.87148,0.65565,0.75353,0.61201,0.75426,1.04576,1.34941,0.00160025,0.00160025,0.00160025
4,1390.91,0.49564,0.7148,1.16988,0.84243,0.68732,0.77177,0.65657,0.70454,0.94585,1.23809,0.00156798,0.00156798,0.00156798
5,1761.58,0.48557,0.69605,1.1612,0.77578,0.6206,0.72714,0.60664,0.74512,1.04848,1.30726,0.00153497,0.00153497,0.00153497
6,2152.51,0.47726,0.69267,1.15841,0.90344,0.69501,0.79406,0.68128,0.65418,0.81736,1.19308,0.00150197,0.00150197,0.00150197
7,2500.42,0.47265,0.6814,1.15405,0.87387,0.67521,0.78019,0.66166,0.69216,0.88654,1.23265,0.00146896,0.00146896,0.00146896
8,2831.72,0.46682,0.67088,1.14872,0.84461,0.684,0.78066,0.6579,0.7144,0.97309,1.24029,0.00143595,0.00143595,0.00143595
9,3161.71,0.46206,0.66282,1.14589,0.85738,0.69566,0.78795,0.67476,0.63982,0.85292,1.17013,0.00140295,0.00140295,0.00140295
10,3492.6,0.46174,0.66045,1.14481,0.84246,0.70007,0.7901,0.67783,0.64781,0.90472,1.18749,0.00136994,0.00136994,0.00136994
11,3823.7,0.45894,0.65639,1.1474,0.74741,0.69663,0.75421,0.5595,0.91252,1.03831,1.46861,0.00133693,0.00133693,0.00133693
12,4156.6,0.44736,0.63397,1.13565,0.86556,0.6999,0.80465,0.69053,0.6448,0.87223,1.17075,0.00130393,0.00130393,0.00130393
13,4488.77,0.44635,0.62943,1.13485,0.84527,0.69527,0.79374,0.64853,0.67648,0.92174,1.22689,0.00127092,0.00127092,0.00127092
14,4808.58,0.44743,0.62866,1.13739,0.86443,0.69999,0.80027,0.6766,0.66363,0.87552,1.21256,0.00123791,0.00123791,0.00123791
15,5142.75,0.44143,0.62694,1.13163,0.85246,0.69482,0.79667,0.67445,0.66055,0.90881,1.2078,0.00120491,0.00120491,0.00120491
16,5459.77,0.43696,0.61111,1.12993,0.78382,0.71221,0.78765,0.63381,0.72132,0.95193,1.25341,0.0011719,0.0011719,0.0011719
17,5775.33,0.43415,0.60666,1.12589,0.85431,0.71822,0.81144,0.69294,0.63934,0.84752,1.17291,0.00113889,0.00113889,0.00113889
18,6090.98,0.42911,0.59688,1.12216,0.88527,0.70638,0.81839,0.70574,0.60055,0.82059,1.14407,0.00110589,0.00110589,0.00110589
19,6406.69,0.42988,0.59411,1.12274,0.86782,0.70728,0.8128,0.70579,0.63453,0.79964,1.17476,0.00107288,0.00107288,0.00107288
20,6721.87,0.42417,0.58879,1.12015,0.82196,0.73656,0.80328,0.66282,0.67867,0.9532,1.20862,0.00103987,0.00103987,0.00103987
21,7037.74,0.41947,0.57184,1.11614,0.81621,0.71526,0.80659,0.64055,0.75495,1.0138,1.26311,0.00100687,0.00100687,0.00100687
22,7353.61,0.41798,0.57473,1.11415,0.88357,0.71614,0.82935,0.68363,0.70415,0.95415,1.23824,0.000973861,0.000973861,0.000973861
23,7669.14,0.41229,0.56599,1.11177,0.87748,0.72446,0.82357,0.69296,0.69489,0.90286,1.21075,0.000940855,0.000940855,0.000940855
24,7984.93,0.41011,0.56099,1.10699,0.87528,0.73336,0.82949,0.69071,0.69922,0.93316,1.20917,0.000907848,0.000907848,0.000907848
25,8300.63,0.41383,0.56174,1.11243,0.88165,0.73828,0.83455,0.72051,0.61429,0.78537,1.16317,0.000874842,0.000874842,0.000874842
26,8616.4,0.40783,0.54976,1.10739,0.86919,0.73157,0.82939,0.7185,0.61061,0.80283,1.12499,0.000841835,0.000841835,0.000841835
27,8932.28,0.39942,0.5435,1.1003,0.83034,0.72929,0.8171,0.69446,0.62312,0.85478,1.14842,0.000808828,0.000808828,0.000808828
28,9248.36,0.40109,0.53854,1.10332,0.87496,0.73937,0.83193,0.71496,0.64043,0.7882,1.15543,0.000775822,0.000775822,0.000775822
29,9564.26,0.39513,0.52764,1.0986,0.8701,0.7375,0.83812,0.72329,0.59315,0.78739,1.12235,0.000742815,0.000742815,0.000742815
30,9890.04,0.4016,0.53197,1.10383,0.8659,0.74022,0.84125,0.73642,0.57178,0.73471,1.0965,0.000709809,0.000709809,0.000709809
31,10218.9,0.39816,0.52465,1.09948,0.87164,0.74318,0.84,0.72849,0.58975,0.75722,1.10248,0.000676802,0.000676802,0.000676802
32,10550.3,0.38932,0.51537,1.09434,0.84088,0.73926,0.82636,0.71385,0.5862,0.82425,1.10685,0.000643795,0.000643795,0.000643795
33,10881.4,0.38846,0.50947,1.09534,0.85572,0.75903,0.8431,0.73305,0.5795,0.75108,1.09448,0.000610789,0.000610789,0.000610789
34,11211.5,0.38841,0.50799,1.09436,0.86914,0.74653,0.84433,0.73655,0.5861,0.72534,1.09865,0.000577782,0.000577782,0.000577782
35,11542,0.38733,0.49887,1.09125,0.87458,0.74752,0.84568,0.73972,0.57885,0.72645,1.09786,0.000544776,0.000544776,0.000544776
36,11872.9,0.376,0.49088,1.08143,0.8498,0.75947,0.84668,0.74059,0.5714,0.72525,1.09064,0.000511769,0.000511769,0.000511769
37,12204.4,0.37416,0.48692,1.08101,0.86081,0.75252,0.8429,0.73458,0.59681,0.75055,1.12267,0.000478762,0.000478762,0.000478762
38,12534,0.37126,0.47644,1.08074,0.89795,0.73593,0.84525,0.73173,0.60977,0.75561,1.14031,0.000445756,0.000445756,0.000445756
39,12865.7,0.37242,0.4791,1.08077,0.88083,0.74632,0.84644,0.73833,0.60368,0.76089,1.12416,0.000412749,0.000412749,0.000412749
40,13196.5,0.37266,0.4706,1.08022,0.88649,0.74466,0.84975,0.74096,0.59683,0.75257,1.11721,0.000379743,0.000379743,0.000379743
41,13542.6,0.3366,0.4551,1.11524,0.86848,0.74063,0.83784,0.72745,0.64264,0.79585,1.1492,0.000346736,0.000346736,0.000346736
42,13872.5,0.32646,0.42172,1.11156,0.85714,0.74965,0.84183,0.73611,0.57681,0.743,1.09688,0.000313729,0.000313729,0.000313729
43,14198.4,0.32155,0.4134,1.10165,0.85976,0.75614,0.84453,0.74032,0.56117,0.715,1.08943,0.000280723,0.000280723,0.000280723
44,14530.9,0.31744,0.40358,1.09975,0.88161,0.73884,0.84108,0.73969,0.54767,0.73043,1.07312,0.000247716,0.000247716,0.000247716
45,14860.6,0.31178,0.38873,1.09094,0.8791,0.73719,0.84081,0.73932,0.54419,0.73315,1.07188,0.00021471,0.00021471,0.00021471
46,15190.7,0.31167,0.38199,1.09314,0.86563,0.75093,0.84167,0.73937,0.54237,0.72069,1.07372,0.000181703,0.000181703,0.000181703
47,15518.7,0.30369,0.36791,1.08441,0.86256,0.75504,0.84661,0.74592,0.53459,0.69758,1.06406,0.000148696,0.000148696,0.000148696
48,15854.5,0.29952,0.35865,1.07507,0.86481,0.7523,0.84788,0.7464,0.53508,0.70269,1.06149,0.00011569,0.00011569,0.00011569
49,16184.4,0.29528,0.35345,1.07754,0.86708,0.75337,0.84583,0.74464,0.53518,0.70575,1.06061,8.26832e-05,8.26832e-05,8.26832e-05
50,16513.5,0.29214,0.34955,1.07178,0.85677,0.75503,0.84506,0.74343,0.53686,0.71406,1.06247,4.96766e-05,4.96766e-05,4.96766e-05
